match_id,home_team,away_team,st_home,goals_home,corners_home,st_away,goals_away,corners_away,st_avg,corners_avg,goals_avg,st_kpp,corner_kpp,goals_kpp,which_team,st_kpp_home,st_kpp_away,goals_kpp_home,goals_kpp_away,corner_kpp_home,corner_kpp_away,modified_result,final_result,home_kpp_score,away_kpp_score,normalized_home_kpp_score,normalized_away_kpp_score
39,Hull,West Ham,0.6,0.5,0.230769231,0.4,0.5,0.769230769,0.4,0.769230769,0.5,0.455555556,0.465734266,0.333333333,West Ham,0.40952381,0.455555556,0.611111111,0.333333333,0.55795207,0.465734266,0,0,1.578586991,1.254623155,0.557172574448348,0.442827425551652
40,Aston Villa,Arsenal,0.4,0,0.5,0.6,1,0.5,0.4,0.5,0,0.357142857,0.420512821,0.722222222,Aston Villa,0.357142857,0.565079365,0.722222222,0.5,0.420512821,0.388888889,0,-1,1.4998779,1.453968254,0.507771164036054,0.492228835963946
41,Burnley,Sunderland,0.5,0.5,0.833333333,0.5,0.5,0.166666667,0.5,0.833333333,0.5,0.422222222,0.477777778,0.333333333,Burnley,0.422222222,0.396103896,0.333333333,0.333333333,0.477777778,0.533333333,0,0,1.233333333,1.262770562,0.49410336463579,0.50589663536421
42,Newcastle,Hull,0.7,0.5,0.666666667,0.3,0.5,0.333333333,0.7,0.666666667,0.5,0.575757576,0.577777778,0.333333333,Newcastle,0.575757576,0.476190476,0.333333333,0.444444444,0.577777778,0.458404558,0,0,1.486868687,1.379039478,0.518812397814568,0.481187602185431
43,QPR,Stoke,0.555555556,0.5,0.909090909,0.444444444,0.5,0.090909091,0.555555556,0.909090909,0.5,0.267676768,0.370512821,0.333333333,QPR,0.267676768,0.633333333,0.333333333,0.5,0.370512821,0.544907407,0,0,0.971522922,1.67824074,0.366645122330159,0.633354877669841
44,Swansea,Southampton,0.333333333,0,0.333333333,0.666666667,1,0.666666667,0.666666667,0.666666667,1,0.645454546,0.494949495,0.75,Southampton,0.605050505,0.645454546,0.777777778,0.75,0.254545455,0.494949495,0,-1,1.637373738,1.890404041,0.464137437382504,0.535862562617496
45,West Ham,Liverpool,0.583333333,0.75,0.583333333,0.416666667,0.25,0.416666667,0.416666667,0.416666667,0.25,0.605820106,0.458974359,0.416666667,Liverpool,0.422222222,0.605820106,0.5,0.416666667,0.517016317,0.458974359,1,1,1.439238539,1.481461132,0.492771835903014,0.507228164096986
46,Everton,Crystal Palace,0.666666667,0.4,0.875,0.333333333,0.6,0.125,0.333333333,0.125,0.6,0.48989899,0.388888889,0.416666667,Crystal Palace,0.455555556,0.48989899,0.444444444,0.416666667,0.655555556,0.388888889,0,-1,1.555555556,1.295454546,0.545615588983276,0.454384411016724
47,Leicester,Man United,0.5,0.625,0.333333333,0.5,0.375,0.666666667,0.5,0.333333333,0.625,0.273015873,0.329166667,0.5,Leicester,0.273015873,0.572727273,0.5,0.666666667,0.329166667,0.638888889,1,1,1.10218254,1.878282829,0.369802162931959,0.630197837068041
48,Man City,Chelsea,0.666666667,0.5,0.875,0.333333333,0.5,0.125,0.333333333,0.125,0.5,0.688600289,0.456565657,0.777777778,Chelsea,0.547619048,0.688600289,0.416666667,0.777777778,0.731623932,0.456565657,0,0,1.695909647,1.922943724,0.46863176623577,0.53136823376423
49,Tottenham,West Brom,0.2,0,0.5625,0.8,1,0.4375,0.8,0.4375,1,0.3,0.911111111,0.166666667,West Brom,0.600529101,0.3,0.5,0.166666667,0.57948718,0.911111111,0,-1,1.680016281,1.377777778,0.549421003698797,0.450578996301203
50,Arsenal,Tottenham,0.6,0.5,0.75,0.4,0.5,0.25,0.6,0.75,0.5,0.565079365,0.388888889,0.666666667,Arsenal,0.565079365,0.389417989,0.666666667,0.166666667,0.388888889,0.5875,0,0,1.620634921,1.143584656,0.586290226176196,0.413709773823804
